Name,Type,,Longitude,Latitude
Adachi Incineration Plant,Combustible,,35.80485889,139.7948352
Katsushika Incineration Plant,Combustible,,35.78105046,139.8564743
Edogawa Incineration Plant,Combustible,,35.68517195,139.903893
Sumida Incineration Plant,Combustible,,35.71730495,139.8318348
Shin-Koto Incineration Plant,Combustible,,35.64949463,139.8338442
Ariake Incineration Plant,Combustible,,35.63267565,139.7848102
Chuo Incineration Plant,Combustible,,35.6517184,139.7752911
Minato Incineration Plant,Combustible,,35.63181585,139.7572655
Shinagawa Incineration Plant,Combustible,,35.60999077,139.7533595
Ota Incineration Plant,Combustible,,35.57314604,139.7677735
Ota No.1 Incineration Plant,Combustible,,35.57343666,139.7695028
Tamagawa Incineration Plant,Combustible,,35.56142473,139.6870033
Meguro Incineration Plant,Combustible,,35.63837706,139.7075394
Setagaya Incineration Plant,Combustible,,35.63326051,139.6229527
Chitose Incineration Plant,Combustible,,35.65994173,139.6161752
Shibuya Incineration Plant,Combustible,,35.65329461,139.7063709
Suginami Incineration Plant,Combustible,,35.68372376,139.6180914
Toshima Incineration Plant,Combustible,,35.73460152,139.7140363
Kita Incineration Plant,Combustible,,35.7756521,139.7324216
Itabashi Incineration Plant,Combustible,,35.79242413,139.6679144
Nerima Incineration Plant,Combustible,,35.75637242,139.6087462
Hikarigaoka Incineration Plant,Combustible,,35.76167531,139.6282082
Shinujuku Transfer,Incombustible Transfer,,35.69083943,139.6996316
Misakicho Transfer,Incombustible Transfer,,35.70208891,139.7534105
Keihinjima Incombustible Garbage Processing Center,Incombustible ,,35.57352939,139.7712797
Chubo Incombustible Center,Incombustible ,,35.61005616,139.8110473
Higashi-Yamato City Recycling Center,Recycling Center,,35.77490451,139.4109171
Minato Recycling Center,Recycling Center,,35.62724141,139.7197807
Itabashi-ku Resources Recycling Center,Recycling Center,,35.79600906,139.6759843
